#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"463","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  20:20:14.5 (GMT-06:00)","SYS",""
"464","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 20-May-2015  07:32:00.1 (GMT-06:00)","SYS",""
"465","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Wed 20-May-2015  07:32:03.0 (GMT-06:00)","SYS",""
"466","Slot 1","Raising","Warning","ESR threshold exceeded","Wed 20-May-2015  07:32:20.0 (GMT-06:00)","SYS",""
"467","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Wed 20-May-2015  07:32:29.0 (GMT-06:00)","SYS",""
"468","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 20-May-2015  07:32:34.0 (GMT-06:00)","SYS",""
"469","Slot 1","Clearing","Cleared","ESR threshold exceeded","Wed 20-May-2015  07:33:20.0 (GMT-06:00)","SYS",""
"470","Slot 3","Raising","Warning","Port 3 Ethernet down","Wed 20-May-2015  21:07:05.3 (GMT-06:00)","SYS",""
"471","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Wed 20-May-2015  21:07:08.9 (GMT-06:00)","SYS",""
"472","Slot 3","Raising","Warning","Port 3 Ethernet down","Wed 20-May-2015  21:08:10.3 (GMT-06:00)","SYS",""
"473","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Wed 20-May-2015  21:08:18.0 (GMT-06:00)","SYS",""
"474","Slot 3","Raising","Warning","Port 3 Ethernet down","Wed 20-May-2015  21:08:31.7 (GMT-06:00)","SYS",""
"475","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Wed 20-May-2015  21:08:33.3 (GMT-06:00)","SYS",""
"476","Slot 3","Raising","Warning","Port 3 Ethernet down","Wed 20-May-2015  21:08:53.3 (GMT-06:00)","SYS",""
"477","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Wed 20-May-2015  21:09:05.1 (GMT-06:00)","SYS",""
"478","Slot 3","Raising","Warning","Port 3 Ethernet down","Wed 20-May-2015  21:12:46.6 (GMT-06:00)","SYS",""
"479","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Wed 20-May-2015  21:13:14.1 (GMT-06:00)","SYS",""
